card_transaction_id,card_id,transaction_date,amount_inr,merchant,txn_type
20000001,7000001,2023-03-27,102042.67,Amazon,PURCHASE
20000002,7000001,2024-08-19,10637.23,Amazon,PURCHASE
20000003,7000001,2025-04-13,134364.88,Zomato,PURCHASE
20000004,7000001,2024-10-13,93159.66,Local Store,FEE
20000005,7000001,2025-09-27,74058.32,Amazon,PURCHASE
20000006,7000001,2025-06-13,66521.62,Zomato,FEE
20000007,7000001,2025-07-25,50221.87,Amazon,CASH_WITHDRAWAL
20000008,7000001,2024-08-14,98081.84,Local Store,REFUND
20000009,7000001,2023-06-28,75290.52,Swiggy,CASH_WITHDRAWAL
20000010,7000001,2023-04-11,95924.9,BigBasket,CASH_WITHDRAWAL
20000011,7000001,2023-04-14,178008.68,Zomato,PURCHASE
20000012,7000001,2023-06-06,90612.28,Myntra,PURCHASE
20000013,7000001,2024-06-12,121184.94,Flipkart,FEE
20000014,7000001,2024-12-16,22899.7,Local Store,PURCHASE
20000015,7000001,2025-04-17,129505.55,Myntra,PURCHASE
20000016,7000001,2023-05-30,136605.65,Myntra,REFUND
20000017,7000001,2024-05-26,171226.47,BigBasket,FEE
20000018,7000001,2024-03-31,157028.24,Zomato,CASH_WITHDRAWAL
20000019,7000001,2025-09-26,151156.91,Myntra,CASH_WITHDRAWAL
20000020,7000001,2023-05-19,99289.44,Flipkart,PURCHASE
20000021,7000001,2024-12-11,134537.42,BigBasket,PURCHASE
20000022,7000001,2024-10-18,100879.81,Local Store,PURCHASE
20000023,7000001,2024-10-31,112210.82,Swiggy,FEE
20000024,7000001,2025-02-23,70936.46,Flipkart,PURCHASE
20000025,7000001,2023-07-14,125470.4,Amazon,REFUND
20000026,7000001,2024-03-18,189514.42,Uber,REFUND
20000027,7000001,2023-04-14,127707.35,Local Store,FEE
20000028,7000001,2023-11-19,33954.62,Amazon,REFUND
20000029,7000001,2026-01-11,129370.76,Amazon,PURCHASE
20000030,7000001,2026-01-11,172394.59,Zomato,FEE
20000031,7000002,2025-07-23,141492.9,Zomato,CASH_WITHDRAWAL
20000032,7000002,2025-03-15,141064.72,Uber,REFUND
20000033,7000002,2025-10-24,41765.28,Local Store,REFUND
20000034,7000002,2023-01-27,152884.05,Amazon,PURCHASE
20000035,7000002,2024-07-31,91993.9,Local Store,FEE
20000036,7000002,2023-05-12,14301.3,Swiggy,REFUND
20000037,7000002,2023-06-07,34017.07,Amazon,REFUND
20000038,7000002,2025-02-03,10449.43,Amazon,PURCHASE
20000039,7000002,2024-02-07,195961.71,Swiggy,REFUND
20000040,7000002,2025-11-05,97328.7,Uber,FEE
20000041,7000003,2024-01-10,63161.75,Swiggy,PURCHASE
20000042,7000003,2025-07-31,80612.89,Local Store,REFUND
20000043,7000003,2023-03-08,8613.79,Amazon,FEE
20000044,7000003,2023-05-21,36303.03,Local Store,FEE
20000045,7000003,2023-02-12,117322.6,Local Store,PURCHASE
20000046,7000003,2023-10-27,125865.64,Zomato,CASH_WITHDRAWAL
20000047,7000003,2023-05-29,63622.95,Myntra,FEE
20000048,7000003,2025-04-14,175066.74,Swiggy,PURCHASE
20000049,7000003,2025-10-29,193358.79,Zomato,CASH_WITHDRAWAL
20000050,7000003,2024-09-16,1112.4,Myntra,PURCHASE
20000051,7000003,2024-12-07,90191.05,Flipkart,REFUND
20000052,7000003,2024-01-28,124602.95,BigBasket,REFUND
20000053,7000003,2025-09-06,145454.69,Local Store,REFUND
20000054,7000003,2024-12-18,58034.65,BigBasket,CASH_WITHDRAWAL
20000055,7000003,2023-11-07,147642.82,Zomato,FEE
20000056,7000003,2025-02-21,44274.31,BigBasket,CASH_WITHDRAWAL
20000057,7000003,2023-11-25,13215.54,Uber,REFUND
20000058,7000003,2025-07-21,50224.93,Local Store,FEE
20000059,7000003,2023-08-14,157200.74,Swiggy,FEE
20000060,7000003,2024-04-29,66438.29,Myntra,REFUND
20000061,7000003,2025-11-28,129990.78,Zomato,CASH_WITHDRAWAL
20000062,7000004,2025-06-05,107030.82,Amazon,CASH_WITHDRAWAL
20000063,7000004,2025-01-04,3993.65,Swiggy,FEE
20000064,7000004,2023-11-24,91179.03,BigBasket,REFUND
20000065,7000004,2024-09-09,161007.68,Uber,REFUND
20000066,7000004,2025-08-10,52097.97,Flipkart,CASH_WITHDRAWAL
20000067,7000004,2025-07-20,96610.37,Amazon,CASH_WITHDRAWAL
20000068,7000004,2025-09-27,198171.24,Uber,REFUND
20000069,7000004,2023-07-26,35704.57,Amazon,REFUND
20000070,7000004,2025-02-11,181634.74,Uber,PURCHASE
20000071,7000004,2023-11-13,153174.3,Flipkart,PURCHASE
20000072,7000004,2025-05-03,9163.1,Local Store,FEE
20000073,7000004,2025-12-24,72807.74,Flipkart,FEE
20000074,7000004,2025-02-02,25980.86,BigBasket,PURCHASE
20000075,7000004,2024-07-14,16879.24,Zomato,FEE
20000076,7000004,2025-05-27,157153.99,Myntra,PURCHASE
20000077,7000004,2023-06-27,54644.25,Uber,PURCHASE
20000078,7000004,2024-01-18,172219.99,Amazon,FEE
20000079,7000004,2023-09-25,186899.72,Flipkart,REFUND
20000080,7000005,2025-12-02,57380.04,Swiggy,FEE
20000081,7000005,2024-07-07,92087.63,Flipkart,FEE
20000082,7000005,2025-04-26,26202.54,BigBasket,PURCHASE
20000083,7000005,2025-01-23,131503.11,Amazon,REFUND
20000084,7000005,2024-04-05,153571.13,Flipkart,REFUND
20000085,7000005,2025-02-01,82513.41,Uber,REFUND
20000086,7000005,2025-08-25,31010.12,BigBasket,PURCHASE
20000087,7000005,2023-06-03,183045.69,Amazon,PURCHASE
20000088,7000005,2025-01-04,163009.54,Zomato,FEE
20000089,7000005,2023-03-27,26780.12,Myntra,CASH_WITHDRAWAL
20000090,7000005,2024-10-09,101867.55,Flipkart,REFUND
20000091,7000005,2025-09-27,176453.22,Amazon,CASH_WITHDRAWAL
20000092,7000005,2024-09-18,27204.37,Uber,PURCHASE
20000093,7000005,2023-07-22,189252.91,Swiggy,REFUND
20000094,7000005,2023-12-01,55871.73,Flipkart,REFUND
20000095,7000005,2024-11-15,60125.78,Myntra,PURCHASE
20000096,7000005,2023-07-13,104462.69,Flipkart,FEE
20000097,7000005,2024-01-17,52046.69,Local Store,PURCHASE
20000098,7000005,2023-05-10,46045.5,Swiggy,PURCHASE
20000099,7000005,2025-01-12,189180.77,Swiggy,PURCHASE
20000100,7000005,2025-01-18,144475.8,Myntra,CASH_WITHDRAWAL
20000101,7000005,2024-12-10,74790.18,Local Store,CASH_WITHDRAWAL
20000102,7000005,2023-11-18,94606.57,Uber,REFUND
20000103,7000005,2024-11-12,198534.86,Zomato,REFUND
20000104,7000005,2025-04-23,87334.47,Swiggy,PURCHASE
20000105,7000005,2023-12-13,84753.19,Local Store,PURCHASE
20000106,7000005,2025-03-18,44336.34,Flipkart,PURCHASE
20000107,7000005,2025-07-22,116189.43,Swiggy,CASH_WITHDRAWAL
20000108,7000005,2025-02-11,106105.85,Local Store,CASH_WITHDRAWAL
20000109,7000005,2024-03-07,9877.55,Uber,REFUND
20000110,7000005,2024-09-28,120720.34,Flipkart,PURCHASE
20000111,7000005,2025-11-12,47961.6,Myntra,CASH_WITHDRAWAL
20000112,7000006,2025-12-24,99773.08,Local Store,PURCHASE
20000113,7000006,2023-06-07,198867.85,Amazon,CASH_WITHDRAWAL
20000114,7000006,2024-06-03,171698.71,Zomato,PURCHASE
20000115,7000006,2025-06-08,95601.1,Myntra,PURCHASE
20000116,7000006,2023-09-19,115428.83,Local Store,REFUND
20000117,7000006,2025-02-03,92360.43,Uber,REFUND
20000118,7000006,2025-11-06,172536.8,Flipkart,CASH_WITHDRAWAL
20000119,7000006,2024-05-31,197777.62,Amazon,REFUND
