repayment_id,loan_id,due_date,paid_date,amount_inr,status
12000001,9000001,2024-03-10,2024-03-10,90055.79,PAID
12000002,9000001,2024-04-10,2024-04-23,56614.29,PAID
12000003,9000001,2024-05-10,2024-05-19,56614.29,PAID
12000004,9000001,2024-06-10,2024-06-22,56614.29,PAID
12000005,9000001,2024-07-10,,0.0,MISSED
12000006,9000001,2024-08-10,2024-08-20,41347.57,PAID
12000007,9000001,2024-09-10,,0.0,MISSED
12000008,9000001,2024-10-10,,0.0,MISSED
12000009,9000001,2024-11-10,2024-11-10,56614.29,PAID
12000010,9000001,2024-12-10,,0.0,MISSED
12000011,9000001,2025-01-10,,0.0,MISSED
12000012,9000001,2025-02-10,,0.0,MISSED
12000013,9000001,2025-03-10,2025-03-25,56614.29,PAID
12000014,9000001,2025-04-10,2025-04-25,56614.29,PAID
12000015,9000001,2025-05-10,,0.0,MISSED
12000016,9000001,2025-06-10,,0.0,MISSED
12000017,9000001,2025-07-10,2025-07-16,56614.29,PAID
12000018,9000001,2025-08-10,,0.0,MISSED
12000019,9000001,2025-09-10,2025-09-16,56614.29,PAID
12000020,9000001,2025-10-10,2025-10-24,56614.29,PAID
12000021,9000001,2025-11-10,,0.0,MISSED
12000022,9000001,2025-12-10,2025-12-16,56614.29,PAID
12000023,9000001,2026-01-10,,0.0,MISSED
12000024,9000001,2026-02-10,,0.0,MISSED
12000025,9000001,2026-03-10,,0.0,MISSED
12000026,9000001,2026-04-10,,0.0,MISSED
12000027,9000001,2026-05-10,2026-05-22,56614.29,PAID
12000028,9000001,2026-06-10,,0.0,MISSED
12000029,9000001,2026-07-10,2026-07-16,56614.29,PAID
12000030,9000001,2026-08-10,2026-08-14,56614.29,PAID
12000031,9000001,2026-09-10,2026-09-18,56614.29,PAID
12000032,9000001,2026-10-10,2026-10-18,56614.29,PAID
12000033,9000001,2026-11-10,,0.0,MISSED
12000034,9000001,2026-12-10,2026-12-24,56614.29,PAID
12000035,9000001,2027-01-10,,0.0,MISSED
12000036,9000001,2027-02-10,,0.0,MISSED
12000037,9000001,2027-03-10,2027-03-15,104397.57,PAID
12000038,9000001,2027-04-10,,0.0,MISSED
12000039,9000001,2027-05-10,,0.0,MISSED
12000040,9000001,2027-06-10,,0.0,MISSED
12000041,9000001,2027-07-10,2027-07-21,56614.29,PAID
12000042,9000001,2027-08-10,,0.0,MISSED
12000043,9000001,2027-09-10,2027-09-17,56614.29,PAID
12000044,9000001,2027-10-10,,0.0,MISSED
12000045,9000001,2027-11-10,2027-11-15,56614.29,PAID
12000046,9000001,2027-12-10,,0.0,MISSED
12000047,9000001,2028-01-10,,0.0,MISSED
12000048,9000001,2028-02-10,2028-02-16,136451.41,PAID
12000049,9000001,2028-03-10,2028-03-23,56614.29,PAID
12000050,9000001,2028-04-10,,0.0,MISSED
12000051,9000001,2028-05-10,2028-05-15,56614.29,PAID
12000052,9000001,2028-06-10,2028-06-20,56614.29,PAID
12000053,9000001,2028-07-10,2028-07-18,56614.29,PAID
12000054,9000001,2028-08-10,2028-08-11,56614.29,PAID
12000055,9000001,2028-09-10,,0.0,MISSED
12000056,9000001,2028-10-10,2028-10-17,56614.29,PAID
12000057,9000001,2028-11-10,2028-11-23,56614.29,PAID
12000058,9000001,2028-12-10,,0.0,MISSED
12000059,9000001,2029-01-10,2029-01-18,56614.29,PAID
12000060,9000001,2029-02-10,,0.0,MISSED
12000061,9000002,2023-04-25,2023-05-05,30371.54,PAID
12000062,9000002,2023-05-25,2023-06-08,53090.05,PAID
12000063,9000002,2023-06-25,2023-06-25,30371.54,PAID
12000064,9000002,2023-07-25,2023-07-28,8491.65,PAID
12000065,9000002,2023-08-25,2023-09-05,30371.54,PAID
12000066,9000002,2023-09-25,2023-10-02,30371.54,PAID
12000067,9000002,2023-10-25,2023-10-25,9395.3,PAID
