transaction_id,account_id,transaction_date,amount_inr,transaction_type,channel,remarks
5000001,1000001,11-10-2024,24181.57,DEBIT,UPI,
5000002,1000001,22-02-2024,156987.92,CREDIT,BRANCH,
5000003,1000001,20-07-2024,179268.72,CREDIT,BRANCH,
5000004,1000001,19-06-2025,141295.66,CREDIT,ATM,
5000005,1000001,27-06-2023,192531.29,CREDIT,NEFT,
5000006,1000001,24-06-2025,164730.87,DEBIT,NEFT,
5000007,1000001,10-02-2025,126003.73,CREDIT,UPI,
5000008,1000001,03-03-2025,145683.44,CREDIT,BRANCH,
5000009,1000001,04-04-2023,146523.75,DEBIT,UPI,
5000010,1000001,04-03-2024,163841.2,DEBIT,IMPS,
5000011,1000001,03-08-2023,193928.85,CREDIT,NEFT,
5000012,1000001,03-09-2024,166970.93,DEBIT,UPI,
5000013,1000001,21-03-2023,34293.8,DEBIT,ATM,
5000014,1000001,11-01-2024,125906.61,DEBIT,BRANCH,
5000015,1000001,08-09-2023,157453.79,DEBIT,ATM,
5000016,1000001,25-09-2023,183608.11,CREDIT,BRANCH,
5000017,1000001,09-01-2024,188750.86,DEBIT,NEFT,
5000018,1000001,24-02-2023,188731.39,DEBIT,UPI,
5000019,1000001,19-10-2023,196389.89,DEBIT,NEFT,
5000020,1000001,05-11-2023,151850.52,CREDIT,IMPS,
5000021,1000001,22-09-2025,195547.71,CREDIT,BRANCH,
5000022,1000001,23-05-2024,83890.09,CREDIT,BRANCH,
5000023,1000001,05-05-2024,144324.13,DEBIT,UPI,
5000024,1000001,02-01-2026,165409.36,CREDIT,BRANCH,
5000025,1000001,24-03-2025,140074,DEBIT,IMPS,
5000026,1000001,28-07-2023,139509.32,CREDIT,ATM,
5000027,1000001,10-12-2024,176200.89,DEBIT,BRANCH,
5000028,1000001,04-03-2024,78029.21,CREDIT,IMPS,
5000029,1000001,18-02-2023,198385.2,DEBIT,NEFT,
5000030,1000001,08-03-2023,110379.58,DEBIT,IMPS,
5000031,1000001,02-12-2025,5626.85,CREDIT,BRANCH,
5000032,1000001,07-08-2024,48305.89,CREDIT,ATM,
5000033,1000001,21-03-2023,22132.86,DEBIT,UPI,
5000034,1000001,05-08-2024,125416.56,DEBIT,NEFT,
5000035,1000001,08-05-2025,89774.94,DEBIT,NEFT,
5000036,1000001,05-07-2023,67829.11,DEBIT,BRANCH,
5000037,1000001,22-01-2023,168906.93,DEBIT,UPI,
5000038,1000001,15-06-2024,133401.13,CREDIT,BRANCH,
5000039,1000001,07-04-2025,142884.48,DEBIT,IMPS,
5000040,1000001,17-06-2025,65603,DEBIT,UPI,
5000041,1000001,03-07-2023,19642.67,CREDIT,ATM,
5000042,1000001,04-08-2025,18495.11,DEBIT,IMPS,
5000043,1000001,19-05-2023,42996.14,DEBIT,BRANCH,
5000044,1000001,17-10-2023,117668.48,DEBIT,ATM,
5000045,1000001,27-07-2024,116881.54,CREDIT,ATM,
5000046,1000001,22-04-2023,146356.81,DEBIT,IMPS,
5000047,1000001,29-03-2025,101181.89,DEBIT,ATM,
5000048,1000001,29-04-2025,193607.96,DEBIT,BRANCH,
5000049,1000001,22-05-2025,138909.42,DEBIT,NEFT,
5000050,1000001,03-03-2025,188816.71,DEBIT,NEFT,
5000051,1000001,05-10-2023,22111.72,DEBIT,UPI,
5000052,1000001,28-10-2025,104579.36,DEBIT,UPI,
5000053,1000001,14-12-2023,60686.85,DEBIT,IMPS,
5000054,1000001,02-04-2025,156769.31,DEBIT,UPI,
5000055,1000001,17-06-2024,43155.51,CREDIT,ATM,
5000056,1000001,14-01-2026,24509.46,DEBIT,NEFT,
5000057,1000001,16-09-2023,96261.23,DEBIT,ATM,
5000058,1000001,27-02-2024,156280.8,DEBIT,BRANCH,
5000059,1000001,22-04-2025,152402.15,DEBIT,ATM,
5000060,1000002,12-07-2023,133460.79,DEBIT,UPI,
5000061,1000002,20-07-2025,159972.33,CREDIT,ATM,
5000062,1000002,17-11-2023,46602.82,DEBIT,BRANCH,
5000063,1000002,17-10-2025,191617.99,CREDIT,UPI,
5000064,1000002,21-07-2025,173197.42,CREDIT,BRANCH,
5000065,1000002,26-04-2024,112230.82,DEBIT,BRANCH,
5000066,1000002,28-07-2025,38525.73,CREDIT,BRANCH,
5000067,1000002,02-10-2025,191460.7,DEBIT,ATM,
5000068,1000002,26-03-2023,179378.01,DEBIT,BRANCH,
5000069,1000002,15-01-2025,192477.23,DEBIT,IMPS,
5000070,1000002,03-09-2024,165946.63,CREDIT,BRANCH,
5000071,1000002,24-07-2023,16975.36,DEBIT,UPI,
5000072,1000002,19-10-2023,117799.16,DEBIT,NEFT,
5000073,1000002,22-02-2024,87431.63,DEBIT,BRANCH,
5000074,1000002,09-04-2024,76433.1,DEBIT,NEFT,
5000075,1000002,08-02-2025,57106.08,DEBIT,NEFT,
5000076,1000002,09-03-2025,61393.5,DEBIT,IMPS,
5000077,1000002,20-09-2025,122914.36,DEBIT,NEFT,
5000078,1000002,21-09-2025,59639.97,DEBIT,IMPS,
5000079,1000002,26-09-2023,178607.55,DEBIT,NEFT,
5000080,1000002,04-10-2025,40551.76,CREDIT,BRANCH,
5000081,1000002,21-09-2024,98621.24,CREDIT,ATM,
5000082,1000002,28-05-2025,53894.04,DEBIT,BRANCH,
5000083,1000002,08-10-2023,13138.37,DEBIT,IMPS,
5000084,1000002,11-12-2025,53868.49,CREDIT,NEFT,
5000085,1000002,01-09-2024,152607.51,CREDIT,IMPS,
5000086,1000002,05-05-2024,113670.72,DEBIT,BRANCH,
5000087,1000002,28-11-2024,156587.17,DEBIT,BRANCH,
5000088,1000002,08-02-2025,156415.63,DEBIT,ATM,
5000089,1000002,08-07-2023,8406.33,CREDIT,BRANCH,
5000090,1000002,05-06-2024,130629.12,DEBIT,NEFT,
5000091,1000002,07-05-2023,54696.92,DEBIT,ATM,
5000092,1000002,30-01-2024,168495.61,DEBIT,BRANCH,
5000093,1000002,21-06-2024,9144.67,CREDIT,BRANCH,
5000094,1000002,28-08-2025,60162.64,DEBIT,NEFT,
5000095,1000002,07-04-2025,145028.5,CREDIT,ATM,
5000096,1000002,13-11-2024,122108.54,CREDIT,UPI,
5000097,1000002,17-02-2024,127052.22,CREDIT,ATM,
5000098,1000002,08-07-2024,49223.36,CREDIT,UPI,
5000099,1000002,13-11-2024,91986.88,DEBIT,NEFT,
5000100,1000002,20-04-2025,129306.34,DEBIT,ATM,
5000101,1000002,10-01-2026,180293.93,CREDIT,ATM,
5000102,1000002,23-04-2023,152504.93,DEBIT,NEFT,
5000103,1000002,16-11-2025,178519.81,CREDIT,ATM,
5000104,1000002,11-05-2025,70631.3,CREDIT,BRANCH,
5000105,1000002,16-01-2024,77380.87,CREDIT,NEFT,
5000106,1000002,08-05-2025,92565.37,CREDIT,ATM,
5000107,1000002,30-12-2025,44343.08,DEBIT,UPI,
5000108,1000002,17-01-2024,38342.76,CREDIT,UPI,
5000109,1000002,23-10-2024,46889.88,DEBIT,UPI,
5000110,1000002,04-11-2025,56187.23,CREDIT,BRANCH,
5000111,1000002,16-11-2024,1476.72,CREDIT,ATM,
5000112,1000002,05-06-2025,173989.75,DEBIT,ATM,
5000113,1000002,03-02-2025,110379.45,CREDIT,BRANCH,
5000114,1000002,24-01-2025,13118.86,DEBIT,NEFT,
5000115,1000002,03-05-2025,51961.91,DEBIT,IMPS,
5000116,1000002,12-02-2023,145793.33,DEBIT,NEFT,
5000117,1000002,23-01-2023,122910.59,CREDIT,ATM,
5000118,1000002,14-01-2026,187581.18,CREDIT,NEFT,
5000119,1000002,28-03-2024,86538.01,CREDIT,UPI,
5000120,1000002,14-05-2025,136050.69,DEBIT,UPI,
5000121,1000002,24-02-2023,151816.39,CREDIT,IMPS,
5000122,1000002,14-10-2025,55622.71,DEBIT,ATM,
5000123,1000002,11-04-2024,1081.6,DEBIT,NEFT,
5000124,1000002,28-11-2025,198053.42,DEBIT,ATM,
5000125,1000002,19-08-2025,183403.19,DEBIT,UPI,
5000126,1000002,22-04-2024,12615.68,CREDIT,NEFT,
5000127,1000002,12-05-2023,86418.19,DEBIT,UPI,
5000128,1000003,24-08-2024,49468.36,DEBIT,UPI,
5000129,1000003,29-09-2025,164335.68,DEBIT,IMPS,
5000130,1000003,22-08-2025,155161.11,CREDIT,NEFT,
5000131,1000003,19-07-2023,115807.95,DEBIT,NEFT,
5000132,1000003,11-11-2025,75510.16,CREDIT,NEFT,
5000133,1000003,02-05-2025,12447.35,CREDIT,NEFT,
5000134,1000003,11-05-2024,122167.19,DEBIT,NEFT,
5000135,1000003,26-09-2025,111873.65,DEBIT,ATM,
5000136,1000003,19-10-2023,19211.26,CREDIT,IMPS,
5000137,1000003,28-12-2025,90709.58,DEBIT,ATM,
5000138,1000003,25-06-2025,67956.31,CREDIT,NEFT,
5000139,1000003,04-07-2023,103466.72,DEBIT,NEFT,
5000140,1000003,22-06-2025,2507.1,CREDIT,BRANCH,
5000141,1000003,18-12-2024,180878.78,DEBIT,BRANCH,
5000142,1000003,12-08-2024,71110.47,DEBIT,BRANCH,
5000143,1000003,23-07-2023,37225.39,DEBIT,NEFT,
5000144,1000003,17-09-2025,25579.77,DEBIT,BRANCH,
5000145,1000003,17-01-2024,62272.09,CREDIT,IMPS,
5000146,1000003,23-03-2025,93931.28,CREDIT,UPI,
5000147,1000003,25-12-2023,194055.7,DEBIT,IMPS,
5000148,1000003,23-09-2025,47515.6,CREDIT,BRANCH,
5000149,1000003,29-09-2025,84441.13,DEBIT,IMPS,
5000150,1000003,02-12-2024,157063.5,DEBIT,ATM,
5000151,1000003,06-06-2023,119972.47,DEBIT,BRANCH,
5000152,1000003,02-03-2024,123239.82,DEBIT,IMPS,
5000153,1000003,18-06-2025,90887.7,CREDIT,NEFT,
5000154,1000003,09-04-2023,43920.21,DEBIT,IMPS,
5000155,1000003,04-10-2024,93334.02,DEBIT,ATM,
5000156,1000003,11-03-2024,161463.9,DEBIT,ATM,
5000157,1000003,06-01-2025,165225.56,DEBIT,NEFT,
5000158,1000003,20-08-2025,71609.44,DEBIT,IMPS,
5000159,1000003,02-06-2024,88109.6,CREDIT,UPI,
5000160,1000003,21-10-2025,195063.09,DEBIT,UPI,
5000161,1000003,27-01-2025,43828.06,DEBIT,IMPS,
5000162,1000003,23-02-2024,169514.46,DEBIT,IMPS,
5000163,1000003,05-12-2025,35256.68,DEBIT,NEFT,
5000164,1000003,07-12-2025,166297.57,DEBIT,NEFT,
5000165,1000003,25-02-2024,187226.02,DEBIT,IMPS,
5000166,1000003,23-12-2023,161907.08,CREDIT,BRANCH,
5000167,1000003,14-08-2023,175683.65,DEBIT,IMPS,
5000168,1000003,26-04-2025,158989.88,DEBIT,ATM,
5000169,1000003,14-12-2023,63624.42,DEBIT,IMPS,
5000170,1000003,16-10-2025,152628.32,DEBIT,BRANCH,
5000171,1000003,26-05-2024,157928.08,DEBIT,NEFT,
5000172,1000003,24-06-2024,174576.66,CREDIT,BRANCH,
5000173,1000003,23-04-2023,41887.05,DEBIT,ATM,
5000174,1000003,08-09-2025,33528.34,DEBIT,BRANCH,
5000175,1000003,14-12-2023,99742.63,DEBIT,UPI,
5000176,1000003,15-12-2023,105118.86,DEBIT,ATM,
5000177,1000003,24-05-2023,53703.67,DEBIT,BRANCH,
5000178,1000003,05-11-2025,41479.56,CREDIT,ATM,
5000179,1000003,25-09-2024,79210.2,DEBIT,ATM,
5000180,1000003,03-03-2025,187103.01,DEBIT,BRANCH,
5000181,1000003,29-07-2025,26909.35,DEBIT,ATM,
5000182,1000003,21-02-2023,70347.41,DEBIT,ATM,
5000183,1000003,06-03-2023,124244.11,DEBIT,ATM,
5000184,1000003,17-08-2023,81820.11,CREDIT,UPI,
5000185,1000003,08-07-2024,76505.07,DEBIT,IMPS,
5000186,1000003,24-07-2024,129088.7,DEBIT,NEFT,
5000187,1000003,25-05-2024,168528.55,DEBIT,NEFT,
5000188,1000003,01-07-2024,185324.85,DEBIT,NEFT,
5000189,1000003,12-01-2024,7704.36,DEBIT,IMPS,
5000190,1000003,15-03-2024,50042.23,CREDIT,UPI,
5000191,1000003,24-12-2024,141143.25,CREDIT,BRANCH,
5000192,1000003,02-08-2024,1756.35,DEBIT,UPI,
5000193,1000003,14-10-2023,189165.71,CREDIT,NEFT,
5000194,1000003,28-05-2023,130835.5,CREDIT,IMPS,
5000195,1000003,27-10-2023,45554.32,CREDIT,IMPS,
5000196,1000003,23-05-2023,46782.95,DEBIT,BRANCH,
5000197,1000003,04-06-2023,144515.94,DEBIT,NEFT,
5000198,1000003,17-04-2024,169168.04,DEBIT,ATM,
5000199,1000003,15-11-2024,87764.23,CREDIT,NEFT,
5000200,1000003,13-12-2023,27833.1,CREDIT,UPI,
5000201,1000004,30-12-2025,99985.05,CREDIT,UPI,
5000202,1000004,23-02-2024,45136.85,DEBIT,ATM,
5000203,1000004,15-05-2024,65249.6,DEBIT,NEFT,
5000204,1000004,09-04-2025,30780.56,CREDIT,UPI,
5000205,1000004,10-11-2023,196035.41,DEBIT,ATM,
5000206,1000004,10-09-2025,106921.39,DEBIT,NEFT,
5000207,1000004,16-03-2024,113924.53,DEBIT,UPI,
5000208,1000004,12-07-2025,34326.16,CREDIT,IMPS,
5000209,1000004,14-11-2025,165303.64,CREDIT,NEFT,
5000210,1000004,01-01-2025,39839.8,CREDIT,ATM,
5000211,1000004,16-06-2024,41218.16,DEBIT,BRANCH,
5000212,1000004,28-08-2025,90960,DEBIT,NEFT,
5000213,1000004,01-02-2025,65388.08,CREDIT,ATM,
5000214,1000004,03-03-2025,197919.54,DEBIT,ATM,
5000215,1000004,15-05-2023,148641.39,DEBIT,IMPS,
5000216,1000004,27-04-2025,174096.29,DEBIT,ATM,
5000217,1000004,27-02-2025,120761.7,CREDIT,BRANCH,
5000218,1000004,29-11-2024,100519.88,CREDIT,UPI,
5000219,1000004,01-12-2024,1538.29,DEBIT,NEFT,
5000220,1000004,24-10-2023,120989.48,DEBIT,UPI,
5000221,1000004,19-04-2023,92067.9,DEBIT,NEFT,
5000222,1000004,08-06-2024,129277.51,CREDIT,UPI,
5000223,1000004,19-05-2024,78248.52,CREDIT,IMPS,
5000224,1000004,21-09-2023,49864.51,CREDIT,ATM,
5000225,1000004,26-06-2023,76963.77,CREDIT,BRANCH,
5000226,1000004,07-07-2025,78740.59,CREDIT,IMPS,
5000227,1000004,01-03-2025,54791.57,CREDIT,UPI,
5000228,1000004,04-09-2025,139623.9,CREDIT,IMPS,
5000229,1000004,14-04-2023,82285.07,CREDIT,NEFT,
5000230,1000004,25-12-2023,15352.9,DEBIT,UPI,
5000231,1000004,02-10-2023,90214.65,DEBIT,BRANCH,
5000232,1000004,19-10-2025,92460.39,DEBIT,ATM,
5000233,1000004,30-11-2023,68764.36,DEBIT,IMPS,
5000234,1000004,29-10-2023,7603.04,DEBIT,IMPS,
5000235,1000004,20-03-2024,134075.6,DEBIT,ATM,
5000236,1000004,01-09-2025,16555.6,CREDIT,ATM,
5000237,1000004,06-04-2025,94184.01,DEBIT,IMPS,
5000238,1000004,03-02-2025,167707.25,CREDIT,IMPS,
5000239,1000004,26-05-2024,24874.07,CREDIT,IMPS,
5000240,1000004,13-08-2025,134294.86,DEBIT,UPI,
5000241,1000004,10-03-2025,88159.57,DEBIT,NEFT,
5000242,1000004,24-01-2023,43272.49,CREDIT,BRANCH,
5000243,1000004,22-06-2025,78154.15,DEBIT,NEFT,
5000244,1000004,09-01-2026,9780.51,DEBIT,IMPS,
5000245,1000004,25-08-2024,74960.21,DEBIT,NEFT,
5000246,1000004,17-12-2025,84365.46,CREDIT,UPI,
5000247,1000004,21-12-2024,136007.91,DEBIT,NEFT,
5000248,1000004,09-02-2025,144816.1,DEBIT,BRANCH,
5000249,1000004,12-06-2025,163134.09,DEBIT,IMPS,
5000250,1000004,20-11-2024,186868.76,DEBIT,ATM,
5000251,1000004,16-05-2025,46520.01,DEBIT,UPI,
5000252,1000004,28-01-2025,3048.16,CREDIT,NEFT,
5000253,1000004,13-11-2023,42592.95,DEBIT,UPI,
5000254,1000004,25-12-2023,8835.59,CREDIT,ATM,
5000255,1000004,11-05-2024,153520.65,DEBIT,NEFT,
5000256,1000004,01-02-2025,50425.43,DEBIT,UPI,
5000257,1000004,15-11-2023,135596.21,CREDIT,IMPS,
5000258,1000004,09-03-2024,35107.44,CREDIT,UPI,
5000259,1000004,07-05-2023,13549.32,DEBIT,BRANCH,
5000260,1000004,14-07-2023,76505.16,CREDIT,IMPS,
5000261,1000004,24-03-2023,117514.34,CREDIT,IMPS,
5000262,1000004,06-12-2025,123288.92,CREDIT,UPI,
5000263,1000004,21-09-2024,147595.76,CREDIT,BRANCH,
5000264,1000004,09-08-2025,12031.61,DEBIT,UPI,
5000265,1000004,01-12-2024,30376.53,DEBIT,NEFT,
5000266,1000004,18-09-2024,184685.66,DEBIT,ATM,
5000267,1000004,16-03-2024,26896.69,DEBIT,NEFT,
5000268,1000004,17-02-2023,158366.37,DEBIT,UPI,
5000269,1000004,01-12-2025,45840.55,CREDIT,UPI,
5000270,1000004,09-09-2024,41203.2,DEBIT,IMPS,
5000271,1000004,20-10-2024,121632.24,DEBIT,UPI,
5000272,1000004,08-01-2025,88500.06,DEBIT,ATM,
5000273,1000004,28-08-2025,190734.55,DEBIT,IMPS,
5000274,1000004,26-11-2024,25155.92,DEBIT,BRANCH,
5000275,1000004,26-11-2024,47300.21,DEBIT,ATM,
5000276,1000004,21-04-2024,32873.55,DEBIT,ATM,
5000277,1000004,22-01-2025,121189.95,DEBIT,BRANCH,
5000278,1000004,15-07-2023,193546.78,DEBIT,ATM,
5000279,1000004,08-08-2025,190205.09,DEBIT,ATM,
5000280,1000004,09-02-2025,94169.16,DEBIT,BRANCH,
5000281,1000005,15-08-2023,152076.88,CREDIT,ATM,
5000282,1000005,09-12-2025,152397.76,DEBIT,NEFT,
5000283,1000005,14-05-2024,119056.91,DEBIT,IMPS,
5000284,1000005,10-08-2024,76121.02,DEBIT,UPI,
5000285,1000005,12-12-2023,112450.31,DEBIT,UPI,
5000286,1000005,14-04-2025,142986.93,DEBIT,IMPS,
5000287,1000005,10-01-2026,2616.21,DEBIT,UPI,
5000288,1000005,18-04-2023,80940.82,DEBIT,ATM,
5000289,1000005,16-12-2023,76838.28,DEBIT,BRANCH,
5000290,1000005,26-08-2025,81787.08,DEBIT,NEFT,
5000291,1000005,22-11-2023,186429.31,DEBIT,ATM,
5000292,1000005,14-08-2024,154265.51,CREDIT,UPI,
5000293,1000005,12-03-2023,141840.24,CREDIT,UPI,
5000294,1000005,22-09-2025,130198.72,CREDIT,IMPS,
5000295,1000005,09-09-2024,95571.23,CREDIT,UPI,
5000296,1000005,22-11-2025,139509.41,CREDIT,UPI,
5000297,1000005,01-07-2023,188855.83,DEBIT,IMPS,
5000298,1000005,22-02-2025,2516.86,CREDIT,ATM,
5000299,1000005,27-10-2023,141228.65,CREDIT,NEFT,
5000300,1000005,22-02-2023,181994.33,CREDIT,IMPS,
5000301,1000005,28-08-2023,50611.6,DEBIT,BRANCH,
5000302,1000005,27-11-2023,117236.65,CREDIT,NEFT,
5000303,1000005,09-06-2025,127254.24,CREDIT,UPI,
5000304,1000005,01-04-2025,53840.82,DEBIT,ATM,
5000305,1000005,28-04-2024,1333.74,DEBIT,ATM,
5000306,1000005,15-01-2026,19419.29,CREDIT,ATM,
5000307,1000005,08-02-2023,83397.62,DEBIT,ATM,
5000308,1000005,03-02-2025,35321.44,DEBIT,IMPS,
5000309,1000005,09-12-2024,97319.93,DEBIT,NEFT,
5000310,1000005,11-07-2023,113440.07,DEBIT,IMPS,
5000311,1000005,20-09-2025,149995.65,CREDIT,IMPS,
5000312,1000005,05-08-2024,196590.28,CREDIT,ATM,
5000313,1000005,09-06-2025,173678.98,DEBIT,UPI,
5000314,1000005,27-07-2025,75576.82,DEBIT,UPI,
5000315,1000005,19-11-2025,117150,DEBIT,NEFT,
5000316,1000005,30-12-2025,12258.24,CREDIT,NEFT,
5000317,1000005,25-10-2025,19413.53,DEBIT,NEFT,
5000318,1000005,11-12-2023,120616.83,CREDIT,UPI,
5000319,1000005,29-04-2023,94672.7,DEBIT,ATM,
5000320,1000005,29-02-2024,74188.49,CREDIT,UPI,
5000321,1000005,15-09-2024,188201.16,CREDIT,ATM,
5000322,1000005,23-09-2025,195062.25,CREDIT,NEFT,
5000323,1000005,12-01-2026,91411.01,CREDIT,IMPS,
5000324,1000005,27-11-2025,120401.74,CREDIT,UPI,
5000325,1000005,27-08-2024,73717.56,CREDIT,ATM,
5000326,1000005,01-03-2023,82654.66,DEBIT,UPI,
5000327,1000005,15-12-2025,126773.77,CREDIT,UPI,
5000328,1000005,24-07-2023,46750.05,DEBIT,BRANCH,
5000329,1000005,05-08-2025,69699.37,CREDIT,ATM,
5000330,1000005,27-06-2025,146868.83,DEBIT,IMPS,
5000331,1000005,31-03-2025,173978.25,CREDIT,BRANCH,
5000332,1000005,14-11-2025,25615.88,CREDIT,UPI,
5000333,1000005,07-06-2023,33652.17,DEBIT,NEFT,
5000334,1000005,07-05-2023,132545.29,DEBIT,IMPS,
5000335,1000005,03-02-2025,150662.84,CREDIT,NEFT,
5000336,1000005,16-06-2025,87006.94,CREDIT,IMPS,
5000337,1000005,21-03-2024,180534.57,CREDIT,IMPS,
5000338,1000005,09-08-2024,133203.24,CREDIT,NEFT,
5000339,1000005,15-04-2025,184551.1,CREDIT,ATM,
5000340,1000005,17-07-2025,159118.32,DEBIT,IMPS,
5000341,1000005,08-09-2025,128815.11,DEBIT,ATM,
5000342,1000005,08-08-2023,161699.07,DEBIT,NEFT,
5000343,1000005,02-06-2024,17581.68,DEBIT,BRANCH,
5000344,1000005,29-12-2024,148936.32,DEBIT,UPI,
5000345,1000005,03-05-2025,170673.4,CREDIT,BRANCH,
5000346,1000005,15-01-2026,62194.24,DEBIT,IMPS,
5000347,1000005,16-11-2023,195970.91,DEBIT,UPI,
5000348,1000006,05-05-2025,103974.29,CREDIT,IMPS,
5000349,1000006,14-06-2025,79092.71,DEBIT,ATM,
5000350,1000006,11-04-2024,28982.92,CREDIT,IMPS,
5000351,1000006,01-04-2023,136012.19,DEBIT,UPI,
5000352,1000006,26-03-2025,149424.63,CREDIT,NEFT,
5000353,1000006,03-04-2024,61812.84,CREDIT,NEFT,
5000354,1000006,07-07-2024,199369.88,CREDIT,ATM,
5000355,1000006,03-11-2024,99030.35,CREDIT,ATM,
5000356,1000006,20-09-2025,196229.5,DEBIT,IMPS,
5000357,1000006,15-10-2024,140096.46,DEBIT,IMPS,
5000358,1000006,26-04-2023,145492.72,DEBIT,IMPS,
5000359,1000006,05-12-2025,109611.18,DEBIT,ATM,
5000360,1000006,05-02-2024,151554.95,DEBIT,BRANCH,
5000361,1000006,18-06-2024,56508.7,CREDIT,BRANCH,
5000362,1000006,04-11-2023,19509.05,DEBIT,BRANCH,
5000363,1000006,30-09-2025,169969.45,CREDIT,ATM,
5000364,1000006,17-02-2025,115452.62,DEBIT,ATM,
5000365,1000006,01-06-2024,179448.76,DEBIT,IMPS,
5000366,1000006,31-12-2025,72477.04,CREDIT,NEFT,
5000367,1000006,22-03-2025,75342.33,CREDIT,IMPS,
5000368,1000006,25-09-2025,19254.74,CREDIT,IMPS,
5000369,1000006,03-10-2025,23513.5,DEBIT,UPI,
5000370,1000006,14-08-2023,193946.91,CREDIT,ATM,
5000371,1000006,04-09-2024,6846.87,DEBIT,ATM,
5000372,1000006,09-05-2024,137612.42,CREDIT,ATM,
5000373,1000006,19-07-2025,155557.28,CREDIT,ATM,
5000374,1000006,04-07-2024,126485.09,DEBIT,NEFT,
5000375,1000006,18-05-2025,23369.7,DEBIT,BRANCH,
5000376,1000006,15-10-2024,4654.2,DEBIT,BRANCH,
5000377,1000006,12-05-2023,54781.28,CREDIT,BRANCH,
5000378,1000006,13-01-2025,76822.78,CREDIT,ATM,
5000379,1000006,17-05-2024,114306.05,DEBIT,NEFT,
5000380,1000006,05-01-2025,81095.84,CREDIT,ATM,
5000381,1000006,29-01-2023,97738.22,DEBIT,BRANCH,
5000382,1000006,09-05-2025,150713.97,DEBIT,NEFT,
5000383,1000006,13-01-2025,172407.59,CREDIT,NEFT,
5000384,1000006,18-07-2023,160112.57,DEBIT,IMPS,
5000385,1000006,22-11-2024,130545.47,DEBIT,UPI,
5000386,1000006,08-11-2025,16967.84,DEBIT,UPI,
5000387,1000006,05-01-2024,193256.92,DEBIT,NEFT,
5000388,1000006,28-08-2024,60154.97,CREDIT,BRANCH,
5000389,1000006,28-05-2024,131848.56,DEBIT,BRANCH,
